File Path	Predicted Class	Predicted Value
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__203_1308162026258_C.wav	normal	2.48
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__118_1306262335509_C2.wav	normal	2.22
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201101091156.wav	normal	2.05
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__163_1307104470471_D.wav	normal	2.25
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__220_1308250132896_A.wav	normal	2.12
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__145_1307987561278_D.wav	normal	2.01
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__136_1306429977501_D.wav	normal	2.16
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__103_1305031931979_A.wav	normal	2.25
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__245_1309200438094_C.wav	normal	1.89
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__128_1306344005749_C.wav	normal	2.16
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__159_1307018640315_B.wav	normal	1.92
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__210_1308162935880_D.wav	normal	1.83
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__232_1308748524018_D.wav	normal	1.96
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__193_1308078104592_D.wav	murmur	1.43
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108011116.wav	murmur	1.58
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201101152256.wav	normal	2.28
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__202_1308145175747_B.wav	normal	2.35
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__134_1306428161797_B.wav	normal	2.43
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__282_1311166081161_D.wav	normal	2.07
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106100606.wav	artifact	0.48
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__154_1306935608852_D.wav	normal	2.42
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__235_1308749032454_D1.wav	normal	2.47
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__191_1308077299430_C.wav	normal	2.15
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__108_1305654420093_C.wav	normal	1.97
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__137_1306764999211_B1.wav	murmur	1.28
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__270_1309369533040_D.wav	normal	2.31
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__145_1307987561278_A.wav	normal	2.05
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__136_1306429977501_A.wav	normal	1.91
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108011113.wav	normal	1.83
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__193_1308078104592_A.wav	murmur	1.31
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__259_1309352630271_B.wav	normal	2.43
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__274_1311075637574_C.wav	normal	2.06
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108011111.wav	normal	1.94
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__134_1306428161797_A.wav	normal	2.04
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__176_1307988171173_A1.wav	normal	1.92
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__135_1306428972976_D.wav	normal	2.7
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__284_1311168471850_C.wav	murmur	2.52
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__163_1307104470471_B1.wav	normal	2.22
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__169_1307970398039_B.wav	normal	1.92
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__123_1306331925797_D.wav	murmur	1.35
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__181_1308052613891_C.wav	murmur	2.3
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__163_1307104470471_B.wav	normal	2.29
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201101110659.wav	extrahls	2.24
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__126_1306777102824_D1.wav	normal	2.08
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__288_1311164615284_B.wav	normal	1.78
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__281_1311165683454_C.wav	murmur	1.28
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__293_1311680805936_B.wav	normal	2.48
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__20110501548.wav	normal	1.38
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__293_1311680805936_B2.wav	normal	2.04
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__170_1307970562729_D.wav	normal	2.16
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__122_1306325762831_B.wav	normal	2.26
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__138_1306762146980_C.wav	normal	2.35
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__189_1308075231945_C.wav	murmur	2.47
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__272_1309370164386_B.wav	normal	1.77
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__153_1306848820671_D.wav	normal	2.01
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__278_1311163365896_C.wav	normal	2.36
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__206_1308159601959_C1.wav	normal	2.59
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201101051105.wav	murmur	1.93
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__154_1306935608852_A2.wav	normal	2.16
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__186_1308073648738_D1.wav	normal	2.3
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__180_1307990956284_D.wav	normal	2.03
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__235_1308749032454_C1.wav	normal	1.88
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__290_1311182875320_B.wav	normal	1.92
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__217_1308246111629_D.wav	normal	2.48
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106111419.wav	extrahls	2.17
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__106_1306776721273_D.wav	normal	2.41
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__197_1308141235553_B.wav	murmur	1.37
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__122_1306325762831_A.wav	normal	2.33
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__160_1307100683334_C.wav	normal	2.39
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__268_1309368960960_E.wav	normal	2.05
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__126_1306777102824_C1.wav	normal	2.12
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__300_1311772096120_B.wav	normal	2.43
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201101241434.wav	normal	1.98
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__189_1308075231945_A.wav	normal	1.98
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201104012144.wav	normal	1.7
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__300_1311772096120_C.wav	normal	2.04
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__222_1308336218979_B.wav	normal	2.03
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__137_1306764999211_A.wav	murmur	1.33
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__248_1309201683806_D.wav	murmur	1.51
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__155_1306935902813_D.wav	normal	2.55
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__214_1308245489717_A1.wav	normal	2.09
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__157_1306937583792_C.wav	normal	1.97
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__125_1306332456645_B2.wav	normal	2.43
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106191034.wav	artifact	0.31
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__271_1309369876160_B.wav	murmur	2.32
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__196_1308141034858_D.wav	normal	2.0
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__280_1311165195344_B.wav	murmur	1.82
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__239_1309195730333_D.wav	normal	2.17
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__229_1308594979317_C.wav	normal	2.4
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__227_1308594233667_D.wav	normal	2.18
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__255_1309351210897_B.wav	normal	1.96
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__278_1311163365896_D.wav	normal	1.94
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__137_1306764999211_D2.wav	murmur	1.35
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__180_1307990956284_B.wav	normal	2.43
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__268_1309368960960_A.wav	normal	1.8
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__260_1309353164458_A.wav	normal	1.98
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__169_1307970398039_C1.wav	normal	2.3
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__217_1308246111629_B.wav	normal	2.32
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__106_1306776721273_B.wav	normal	2.06
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__162_1307101835989_C.wav	normal	1.87
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__300_1311772096120_D.wav	normal	2.65
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__130_1306347376079_A.wav	murmur	1.53
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__112_1306243000964_C.wav	normal	2.5
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__165_1307109069581_B.wav	normal	1.71
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__117_1306262456650_B1.wav	normal	1.9
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106030607.wav	artifact	1.01
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__245_1309198844065_A.wav	normal	1.85
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__167_1307111318050_D.wav	normal	2.49
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__155_1306935902813_B.wav	normal	2.09
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__248_1309201683806_B.wav	normal	1.98
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106061104.wav	artifact	0.19
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__217_1308246111629_A.wav	normal	1.91
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__105_1305033453095_D.wav	normal	2.23
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__242_1309197394064_C.wav	normal	2.14
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__184_1308073010307_C.wav	normal	2.6
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__121_1306263877235_B.wav	normal	1.97
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__254_1309350589009_B.wav	murmur	1.18
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__176_1307988171173_C.wav	normal	2.07
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__174_1307987737137_C.wav	normal	2.08
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106040930.wav	artifact	0.18
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__132_1306758754432_B.wav	normal	2.23
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222257.wav	murmur	2.18
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__146_1306778707532_C.wav	normal	2.3
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__156_1306936373241_D.wav	normal	2.47
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222241.wav	murmur	1.81
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__116_1306258689913_B.wav	normal	1.92
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201102081045.wav	normal	2.23
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201105011546.wav	artifact	2.11
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__107_1305654946865_D.wav	normal	2.13
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__215_1308245664733_D.wav	normal	2.61
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__118_1306262335509_A.wav	normal	2.15
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__155_1306935902813_B2.wav	normal	2.43
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__132_1306758754432_A.wav	normal	2.61
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__213_1308245263936_B.wav	normal	2.49
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__146_1306778707532_D31.wav	normal	2.34
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__242_1309197394064_A.wav	normal	2.31
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222254.wav	normal	1.8
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__204_1308159229275_B1.wav	normal	2.28
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__143_1306763822290_D.wav	normal	1.51
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222244.wav	murmur	1.69
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__105_1305033453095_B.wav	normal	2.17
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201105031730.wav	artifact	0.76
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__147_1306523973811_D.wav	normal	2.85
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__212_1308245076477_C.wav	normal	2.09
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__101_1305030823364_D.wav	normal	2.85
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201103201314.wav	extrahls	1.98
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201103232251.wav	artifact	0.13
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__151_1306779785624_A1.wav	normal	2.11
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201102200848.wav	murmur	1.88
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__152_1306779561195_B.wav	normal	2.13
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__152_1306779561195_C.wav	normal	2.13
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__167_1307111318050_C1.wav	normal	2.42
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__194_1308139824187_C.wav	normal	2.09
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__240_1309196119795_D.wav	normal	2.2
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201101220549.wav	normal	2.21
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201101061552.wav	normal	1.96
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__177_1307989650056_C.wav	normal	1.96
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__132_1306758754432_D.wav	normal	2.2
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__164_1307106095995_D.wav	normal	2.23
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__232_1308748524018_A1.wav	normal	2.08
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222247.wav	murmur	1.88
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__139_1306519274653_B.wav	murmur	2.23
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106211725.wav	normal	1.79
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__107_1305654946865_B.wav	murmur	2.28
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__173_1307973611151_D.wav	murmur	1.44
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__144_1306522408528_A.wav	normal	2.16
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__101_1305030823364_F.wav	normal	2.17
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201103011036.wav	artifact	0.97
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__175_1307987962616_C.wav	normal	1.88
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__139_1306519274653_C.wav	normal	2.71
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201103241336.wav	normal	2.38
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__156_1306936373241_C.wav	murmur	1.68
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__129_1306344506305_B.wav	normal	2.22
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__296_1311682952647_A.wav	normal	1.86
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__115_1306259437619_D.wav	murmur	1.31
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201103140236.wav	normal	1.86
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__207_1308159792607_B3.wav	normal	2.07
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__127_1306764300147_D.wav	normal	2.34
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__148_1306768801551_D.wav	normal	2.75
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__118_1306262335509_A1.wav	normal	1.84
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__141_1306520154450_A.wav	normal	2.01
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__286_1311170606028_B.wav	normal	2.35
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__2011040239.wav	artifact	1.8
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222234.wav	normal	1.47
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__172_1307971284351_C.wav	normal	2.04
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__178_1307989887769_A.wav	normal	2.08
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__109_1305653646620_D.wav	murmur	1.49
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222222.wav	murmur	1.45
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106130440.wav	artifact	0.07
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__200_1308144251434_C1.wav	normal	1.93
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__296_1311682952647_B.wav	normal	2.08
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106120928.wav	artifact	1.0
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__109_1305653972028_B.wav	normal	2.2
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__186_1308073648738_C.wav	normal	2.02
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201102081033.wav	normal	1.9
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__171_1307971016233_F.wav	murmur	1.37
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106212102.wav	artifact	0.38
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__262_1309355283807_B.wav	normal	1.75
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__149_1306776016110_C.wav	normal	2.24
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201103170122.wav	normal	2.34
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__172_1307971284351_D.wav	normal	2.57
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__150_1306776340746_D.wav	normal	1.91
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__209_1308162216750_C.wav	normal	2.56
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106171155.wav	artifact	0.32
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__148_1306768801551_C.wav	normal	2.18
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__152_1306779561195_D1.wav	normal	2.22
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201103200518.wav	normal	2.21
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__209_1308162216750_B.wav	normal	2.39
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__171_1307971016233_C.wav	murmur	1.09
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__179_1307990076841_D1.wav	normal	2.37
